question,options,answer,generated_answer
"<image 1> Baxter Company has a relevant range of production between 15,000 and 30,000 units. The following cost data represents average variable costs per unit for 25,000 units of production. If 30,000 units are produced, what are the per unit manufacturing overhead costs incurred?",A. $6 B. $7 C. $8 D. $9,B,">
>
>
>
>


>
>
>

>
>


>

















>
















>
>


>









>
>
>


























































>













>

















>
>


>



>
>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>




>



>







>



>
>

>
>

>
>



>
>



>
>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>
>
>

>
>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>
>

>
>




>

>
>

>
>

>
>

>
>
>
>
>
>
>
>
>


>
>"
"Assume accounts have normal balances, solve for the one missing account balance: Dividends. Equipment was recently purchased, so there is neither depreciation expense nor accumulated depreciation. <image 1>","A. $194,815 B. $182,815 C. $12,000 D. $9,000",C,>
"Maxwell Software, Inc., has the following mutually exclusive projects.Suppose the company uses the NPV rule to rank these two projects.<image 1> Which project should be chosen if the appropriate discount rate is 15 percent?",A. Project A B. Project B,B,">


































































































>



>



















>



>






















<>






<>








<>

>
>




>
<>
>


>

>
>
>











>


>
>

>





>




>

>
>
>

>

>
>
>
>
>
>
>
>
>
>


>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>
>



>

>
>






>

>
>
>

>
>
>
>
>

>
>
>
>
>
>
>

>
>
>
>
>
>
>
>
>
>
>


>
>

>
>
>
>
>
>



>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>
>


>




>


>
>
>
>
>
>
>
>
>"
Each situation below relates to an independent company's Owners' Equity. <image 1> Calculate the missing values of company 2.,"A. $1,620 B. $12,000 C. $51,180 D. $0",D,
"The following data show the units in beginning work in process inventory, the number of units started, the number of units transferred, and the percent completion of the ending work in process for conversion. Given that materials are added at the beginning of the process, what are the equivalent units for conversion costs for each quarter using the weighted-average method? Assume that the quarters are independent.<image 1>","A. 132,625 B. 134,485 C. 135,332 D. 132,685",B,">











>











>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>"
"Job cost sheets show the following information: <image 1> What are the balances in the work in process inventory, finished goods inventory, and cost of goods sold for January?","A. 2,500 4,838 0 B. 3,409 6,950 4,838 C. 5,728 3,700 3,250 D. 5,728 3,409 2,500",A,
"You are a consultant to a large manufacturing orporation that is considering a project with thefollowing net after-tax cash flows (in millions of dollars ): <image 1> The project's beta is 1.8. Assuming that rf = 8% and E(rM) = 16%, what is the highest possible beta estimate for the project before its NPV becomes negative?",A. 3.31 B. 3.47 C. 3.65,B,
"Tim-Buck-II rents jet skis at a beach resort. There are three models available to rent: Junior, Adult, and Expert. The rental price and variable costs for these three models are as follows: <image 1> The current product mix is 5:4:1. The three models share total fixed costs of $114,750. Calculate the sales price per composite unit.",A. $660 B. $760 C. $650 D. $750,A,>
Forest Company had the following transactions during the month of December. What is the December 31 cash balance? <image 1>,"A. $6,000 B. $6,150 C. $6,090 D. $6,060",C,
Use the following cash flow data for Rocket Transport to find Rocket's (1)net cash provided by or used in investing activities (2)Net increase or decrease in cash for the year. <image 1>,"A. (1)$39,000 ; (2)84,000 B. (1)$36,000 ; (2)77,000 C. (1)$38,650 ; (2)82,910",A,
"Donna Donie, CFA, has a client who believes the common stock price of TRT Materials (currently $58 per share) could move substantially in either direction in reaction to an expected court decision involving the company. The client currently owns no TRT shares, but asks Donie for advice about implementing a strangle strategy to capitalize on the possible stock price movement. A strangle is a portfolio of a put and a call with different exercise prices but the same expiration date. Donie gathers the TRT option-pricing data: <image 1> Calculate, at expiration for long strangle strategy, the Maximum possible loss per share.",A. $9.00 B. $5.00 C. the Maximum  possible loss is unlimited,A,
"<image 1> Hicks Products produces and sells patio furniture through a national dealership network. They purchase raw materials from a variety of suppliers and all manufacturing, and assembly work is performed at their plant outside of Cleveland, Ohio. They recorded these costs for the year ending December 31, 2017. What is total revenue?","A. $3,100,000 B. $2,616,000 C. $2,474,000 D. $484,000",A,">




























































































































































































































































































































>


>


















































































































>









>









>

>



>
>


>




>"
Choco's Chocolates incurs the following costs for the month: <image 1> What is the conversion cost?,"A. $52,000 B. $62,000 C. $72,000 D. $82,000",C,">




























































































































>"
"A new company started production. Job 1 was completed, and Job 2 remains in production. Here is the information from the job cost sheets from their first and only jobs so far: <image 1> Using the information provided, what is the balance in finished goods inventory?","A. $10,208 B. $10,308 C. $10,408 D. $10,508",B,">

>



>
>

>


>



>
>
>






>


>




>


>









><



















><













><



><


><













><
>

><










><
>
><
>
>
>
>
><
>
>
><
>
><
>

>
>


><
>


><
>
>
>
>
>



><



>
>
>
>


>



><
><
>
><
><
>
><
>"
"The cost data for BC Billing Solutions for the year 2020 is as follows: <image 1> Predict the overtime wages if 6,500 invoices are processed.","A. $4,840 B. $4,940 C. $5,040 D. $5,140",A,>
"Janet Ludlow's firm requires all its analysts to use a two-stage dividend discount model (DDM) and the capital asset pricing model (CAPM) to value stocks. Using the CAPM and DDM, Ludlow has valued QuickBrush Company at $63 per share. She now must value SmileWhite Corporation.  Calculate the required rate of return for SmileWhite by using the information in the following table:.<image 1> ",A. 14% B. 15% C. 16%,C,
"Assume accounts have normal balances, what is the balance of the account? <image 1> Adjustments needed: Physical count of supplies inventory remaining at end of period, $2,150; Taxes payable at end of period, $3,850.","A. $135,726 B. $112,500 C. $126,925 D. $116,350",C,
"During the year, a company purchased raw materials of $77,321 and incurred direct labor costs of $125,900. Overhead is applied at the rate of 75% of the direct labor cost. These are the inventory balances: <image 1> Compute the cost of materials used in production.","A. $72,283 B. $73,283 C. $74,283 D. $75,283",D,
"<image 1> Baxter Company has a relevant range of production between 15,000 and 30,000 units. The following cost data represents average variable costs per unit for 25,000 units of production. If 15,000 units are produced, what are the per unit manufacturing overhead costs incurred?",A. $10 B. $11 C. $12 D. $13,C,">
>
>
>
>






>
































































































































































>



>



>




>
>
>
>
>
>
>
>
>
>
>
>
>

>


>

>





>











>



>




>



>





>
>



>
>

>
>
>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>
>
>
>
>
>



>
>

>
>

>
>

>
>
>
>

>
>
>
>
>


>


>
>

>
>

>
>

>
>
>
>
>
>
>
>
>


>
>"
"Consider the following multifactor (APT) model of security returns for a particular stock.<image 1>  If T-bills currently offer a 6% yield, find the expected rate of return on this stock if the market views the stock as fairly priced.",A. 17.4% B. 18.1% C. 18.5%,B,
"An all-equity firm is considering the following projects: <image 1> The T-bill rate is 3.5 percent, and the expected return on the market is 11 percent.Which projects would be incorrectly accepted or rejected if the firm's overall cost of capital was used as a hurdle rate?",A. Project X would be incorrectly rejected; Project Z would be incorrectly accepted. B. Project Y would be incorrectly rejected; Project X would be incorrectly accepted. C. Project Z would be incorrectly rejected; Project X would be incorrectly accepted. D. No project would be incorrectly rejected; Project Z would be incorrectly accepted.,A,">














































>




































>



































>







































>




>

















>
>
>
>

>
>
>

>

>
>


>
>



>
>
>
>
>
>
>
>
>


>
>
>
>
>


>
>
>
>
>
>
>
>
>


>
>



>




>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>



>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>
>


>
>
>
>
>
>
>
>
>
>
>
>

>




>
>"
