question,options,answer,generated_answer,gpt-4o-mini_output
"If the truss is to be designed for a  uniform live load of 0.32 kip/fit that can be  placed anywhere on the span in addition to a  concentrated live load of 24 kips that can be  positioned where it will produce the largest  force in bar CG, determine the maximum value  of live load force (tension, compression, or both)  created in bar CG. <image 1> ",A. 9.75kips compression B. 5.75kips compression C. 7.75kips compression,A,">









































































































































































































































































































>

>








>




>

>








>



































































>








>



>





>

>
>


>

>
>



>

>

>







>",Incorrect
Compare the scales of photography for the area recorded and the strip widths given by cameras A and B at the same flying heights.<image 1>How many photographs would be taken by the camera A in covering a strip 16 km long at a flying height of 1350 m? The longitudinal overlap is 60%.,A. 35.567 $\approx$ 36 B. 36.567 $\approx$ 37 C. 34.567 $\approx$ 35 D. 37.567 $\approx$ 38,A,">









>



>
>

>









>
>
















>


>
>





































>



>",Incorrect
The following data refer to a section of base line measured by a tape hung in catenary.<image 1>Length of tape between 0 and 30 m graduations when horizontal at 20°C and under 5 kg tension is 29.9988 m; cross-sectional area of tape = 2.68 $mm^{2}^$; tension used in the field = 10 kg; temperature coefficient of expansion of tape = $11.16 * 10^{-6}$ per °C; elastic modulus for material of tape = $20.4 * 10^{4} N/mm^{2}$; weight of tape per metre length = 0.02 kg; mean radius of the Earth = $6.4*10^{6}$ m.Calculate the corrected length of this section of the line.,A. 150.507 m B. 152.507 m C. 153.507 m D. 151.507 m,A,>,Incorrect
"As shown in the diagram, vertical leveling staffs are set up at points A and B. The level instrument is placed at point M. The reading on the A staff at the center crosshair is $a'_{M}=1.355m$, and the reading on the B staff at the center crosshair is $b'_{M}=1.455m$. When the level instrument is moved to point N, the reading on the A staff is $a'_{N}=1.585m$, and the reading on the B staff is $b'_{N}=1.485m$. What is the correct height difference $h_{AB}$ between points A and B?<image 1>",A. -0.01m B. +0.02m C. 0 D. +0.01m,C,"<>




























<
<
<






>




<




<







<>







<

<







<
<









<
<
<
<

<

<
<
<


>










>





>
>
>
>
>



>
>

>





>
<
<
<
<
<
<>
<
<
<
>
>
>
>







>






>
>
>
>




>
>
>


>
>
>
>
>




>
>
>






>

>
>

>
>",Incorrect
The internal angles of a pentagon are shown in the diagram. The coordinate bearing angle of side $L_{12}$ is $\alpha_{12}=30°$. Calculate the coordinate bearing angles of the other sides.<image 1>,"A. $\alpha_{23}=75°$,$\alpha_{34}=160°$,$\alpha_{45}=220°$,$\alpha_{51}=280°$ B. $\alpha_{23}=95°$,$\alpha_{34}=160°$,$\alpha_{45}=220°$,$\alpha_{51}=280°$ C. $\alpha_{23}=65°$,$\alpha_{34}=160°$,$\alpha_{45}=220°$,$\alpha_{51}=280°$ D. $\alpha_{23}=85°$,$\alpha_{34}=160°$,$\alpha_{45}=220°$,$\alpha_{51}=280°$",C,,Incorrect
Two consecutive photographs were taken with a camera of focal length 200 mm mounted on an airplane flying at a height of 1500 m. The overlap was exactly 60% and the size of prints was 250 mm 250 mm. The flying height was same in case of both the exposures and the flight was balanced so that there was no drift. The ground was flat and was 250 m above the mean sea level. Determine the scale of the photograph and the length of the air base.<image 1>,A. The scale of the photographs is 1 cm = 62.5 m;Air base = 625 m B. The scale of the photographs is 1 cm = 68.5 m;Air base = 625 m C. The scale of the photographs is 1 cm = 66.5 m;Air base = 625 m D. The scale of the photographs is 1 cm = 64.5 m;Air base = 625 m,A,,Incorrect
"The table below lists data used in obtaining a mix design for an asphalt paving mixture. If the maximum specific gravity of the mixture is 2.41 and the bulk specific gravity is 2.35,determine the bulk specific gravity of aggregates in the mix. <image 1>",A. 2.603 B. 2.703 C. 2.803,A,">


















































































































































































































































































































































































>



>
>










>




>








>
>
>
>

>



>
>

>
>
>

















>












>



>
>
>
>


>


>




>
>
>
>

>
>





>
>
>",Incorrect
Observations were made for two angles and as follows:<image 1>Determine the adjusted values of $\alpha$ and $\beta $.,"A. $\alpha$ = 20°10'11.82"",$\beta $ = 30°20'34.73"" B. $\alpha$ = 20°10'11.82"",$\beta $ = 30°20'38.73"" C. $\alpha$ = 20°10'11.82"",$\beta $ = 30°20'32.73"" D. $\alpha$ = 20°10'11.82"",$\beta $ = 30°20'22.73""",C,,Incorrect
A railway embankment 400 m long is 12 m wide at the formation level. The side slope of the embankment is 2:1. The formation level at zero chainage is 107.00. The embankment has a rising gradient of 1 in 100. The ground is level across the c/l. Calculate the volume of earthwork using the prismoidal rule with the following observations:<image 1>,A. 14563 $m^{3}$ B. 14583 $m^{3}$ C. 14553 $m^{3}$ D. 14573 $m^{3}$,B,,Incorrect
Following are the corrected latitudes and departures of the lines of a closed traverse. Calculate the area of the traverse by the D.M.D. method.<image 1>,A. 4725 $m^{2}$ B. 4728 $m^{2}$ C. 4723 $m^{2}$ D. 4729 $m^{2}$,C,">





>








>
>










































>











>
>
>


















>",Incorrect
