question,options,answer,generated_answer
"In the Section of left leg, identify the 170 structure. <image 1>",A. Tibialis anterior B. Tibialis posterior C. Flexor hallucis longus D. Peroneus longus,D,>
"Using the scale bar, estimate the diameter of the vacuole in <image 1>.",A. 5.0 nm B. 50 um C. 7.5 um D. 5.2 um,D,
"<image 1> If the pH outside the cell decreases, would you expect the amount of amino acids transported into the cell to increase or decrease?",A. increase B. decrease,A,>
Name the most likely mode of inheritance in the following pedigree: <image 1>,A. autosomal recessive (AR) B. autosomal dominant (AD) C. X-linked recessive (XR) D. X-linked dominant (XD),B,">




























































































































































































































































































































































































































































































>"
What is part B in the figure? <image 1>,A. Sheath B. Viral genome C. Capsid D. Tail Fibers,B,
"In the phylogenetic tree shown, which organism is the most recent common ancestor of organisms 1 and 3? <image 1>",A. Organism A B. Organism B C. Organism C D. Organism D,B,">




>





























>











































>"
Which arrow in <image 1> points to a large ribosomal unit?,A. A B. B C. C D. D E. E F. F G. G H. H I. I,I,">
>
>




>























>




>



>



>



>



>



>



>








>



>








>



>





>

>



>
>











>"
Reto Zach studied the whelk-eating behavior of the Northwestern crow. Below are two flight paths that the crow could assume when eating whelks: <image 1>. Select the flight path that would be used most often and the response that best supports your answer.,A. Flight Path A: the crow has a wider view of his surroundings to assure that another bird will not steal the whelk B. Flight Path A: the crow is maximizing the height to drop the whelk C. Flight Path A: the crow is adding force to the downward movement to the whelk by flying higher D. Flight Path B: the crow can see where the whelk lands E. Flight Path B: the crow is throwing the whelk to the ground,A,
"You discover a transmembrane protein ALPHA that, like most transmembrane proteins, exhibits a transmembrane domain composed of alpha helices. You next discover that ALPHA serves as a channel. What is a likely amino acid sequence for some portion of the transmembrane domain?  (See <image 1> for one-letter abbreviations)",A. ALILALMWWLLF B. LMQKPMDSLPDY C. FPPALGGLPFAMG D. LKMELAKMILLA E. ALQQMMDSILDY,E,">
>
>
>
>
>

>
>

>



>




>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>
>
>




>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>"
"If individual #1 in the following pedigree <image 1> is a heterozygote for a rare, AR disease, what is the probability that individual #7 will be affected by the disease? Assume that #2 and the spouses of #3 and #4 are not carriers.",,1/64,
The apparatus in <image 1> is used for SDSPAGE (polyacrylamide gel electrophoresis). Which letter indicates the anode?,A. A B. B C. Neither,B,
"A student placed 20 tobacco seeds of the same species on moist paper towels in each of two petri dishes. Dish A was wrapped completely in an opaque cover to exclude all light. Dish B was not wrapped. The dishes were placed equidistant from a light source set to a cycle of 14 h of light and 10 h of dark. All other conditions were the same for both dishes. The dishes were examined after seven days, and the opaque cover was permanently removed from dish A. Both dishes were returned to the light and examined again at 14 days. The following data were obtained: <image 1> What best describes the usefulness of the yellow-leaved phenotype as a variation subject to natural selection?",A. The yellow-leaved phenotype can germinate in environments without light. B. The germination of the yellow-leaved phenotype is unaffected by light intensity. C. The germination of the yellow-leaved phenotype is accelerated as compared to the green-leaved phenotype. D. The yellow-leaved phenotype cannot germinate in environments with light.,A,>
