question,options,answer,generated_answer
A 50-year-old woman has had a high fever over the past day. On physical examination she has papilledema. The gross appearance of her disease process is shown here. Which of the following laboratory test results is she most likely to have? <image 1> ,A. Erythrocyte sedimentation rate of 50 mm/hr B. Serum lipase of 449 U/L C. Total serum complement of 45 mg/dL D. Serum carcinoembryonic antigen of 10 ng/mL E. Serum alanine aminotransferase of 123 U/L F. Proteinuria,A,>
"Based on <image 1>, what's the most likely diagnosis?",A. first degree atrioventricular block B. third degree atrioventricular block C. Second degree type II atrioventricular block D. atrial flutter,D,>
What organ appears abnormal in this radiograph? <image 1> ,A. Stomach B. Liver C. Gallbladder D. Duodenum,C,>
Can you see the finding on this x-ray of the pelvis? <image 1> ,A. Fracture of the femoral neck B. Dislocation of the sacroiliac joint C. Foreign body in the midline at the level of the pubic symphysis D. Air the in bladder,C,>
What do these calcifications represent? <image 1> ,A. Gallstones B. Pancreatic calcifications C. Calcified hematoma of the liver D. Hepatic artery aneurysms,A,>
"A 53-year-old man suffers a cardiac arrest and his wife calls paramedics, who arrive a few minutes later and begin resuscitative measures. A regular heart rate is established after about 40 minutes of resuscitative efforts as he is being transported to the hospital. A thrombolytic agent is administered on admission. Which of the following cellular changes is most likely to now be occurring within his myocardium? <image 1> ",A. Apoptosis B. Free radical injury C. Heterophagocytosis D. Squamous metaplasia,B,">



>"
"A 29-year-old G3 P2 woman has an uncomplicated pregnancy, and an ultrasound scan at 18 weeks gestation is completely normal. At 37 weeks she has the sudden onset of pelvic pain accompanied by passage of blood per vagina. Her membranes have not ruptured nor is she having labor contractions. Fetal monitoring reveals that the baby is in distress, and an emergent cesarean section is performed. The gross appearance of the placenta is shown here. Which of the following is the most likely diagnosis? <image 1> ",A. Ectopic pregnancy B. Placenta previa C. Placenta accreta D. Molar pregnancy E. Abruptio placenta F. Pregnancy-induced hypertension,E,>
"A 23-year-old G2 P1 woman has noted minimal fetal movement in the second trimester. An ultrasound scan at 19 weeks shows hydrops fetalis. A girl infant is born at 32 weeks gestation and is markedly icteric. The microscopic appearance of the placenta is shown here. Laboratory studies show the baby has a Hct of 18%, and an exchange transfusion is performed. Her first pregnancy was uncomplicated and resulted in the birth of a normal girl at term. Which of the following immunologic mechanisms is most likely to produce these findings? <image 1> ",A. Anti-receptor antibody B. Immune complex formation C. Complement mediated cell destruction D. Delayed type hypersensitivity E. Loss of self tolerance,C,>
The picture shows the microscopy of Mr Tan's gastric tumour. Which of the following statements is CORRECT?  <image 1> ,A. The findings show an adenoma B. The findings show a squamous cell carcinoma C. The findings show intestinal type adenocarcinoma D. The findings show diffuse signet ring cell adenocarcinoma,C,>
A 49-year-old man has had marked chest pain for the last 4 hours. An EKG shows ST segment elevation. Laboratory studies show cardiac troponin of 10 ng/mL. The representative gross appearance of his disease process is depicted here. Which of the following findings is most likely to occur in this man? <image 1> ,A. Liquefactive necrosis B. Caseous necrosis C. Coagulative necrosis D. Wet gangrene,C,">












>



>


















>










>






>



>




>



>
>
>
>

>
>
>
>



>
>



>





>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>"
Where would a loss of taste be expected? <image 1>,"A. 1 and 2 B. 2 and 3 C. 3 and 4 D. 2, 3, and 4",B,>
"A 61-year-old woman comes to her physician because of a change in the appearance of her right breast over the past 7 months. On physical examination the skin overlying the breast is indurated, roughened, and reddish-orange. There is nipple retraction. The gross appearance of the cut surface of her subsequent mastectomy specimen is shown here. Which of the following is the most likely diagnosis? <image 1> ",A. Infiltrating ductal carcinoma B. Intraductal carcinoma C. Phyllodes tumor D. Lobular carcinoma in situ,A,">
>


>"
