question,options,answer,generated_answer
"<image 1>A transistor, which may be approximated as a hemispherical heat source of radius ro = 0.1 mm, is embedded in a large silicon substrate (k = 125 W/m$\cdot$  K) and dissipates heat at a rate q. All boundaries of the silicon are maintained at an ambient temperature of T$\infty$= 27C,except for the top surface, which is well insulated.evaluate the surface temperature of the heat source for q =4 W.",A. 340.93K B. 350.93K C. 360.93K,B,>
"Air flows into a heat engine at ambient conditions of 100 kPa, 300 K, as shown in <image 1>. Energy is supplied as 1200 kJ per kilogram of air from a 1500 K source, and in some part of the process a heat transfer loss of 300 kJ/kg air occurs at 750 K.The air leaves the engine at 100 kPa, 800 K. Find the first- and second-law efficiencies","A. 0.32 0.67 B. 0.32,0.74 C. 0.67,0.32 D. 0.74,0.32",A,"><









































































































































































































































































><



















><



><









><












<



><
















































><







><
><"
"An open water jet exits from a nozzle into sea-level air, as shown, and strikes a stagnation tube. If the centerline pressure at section (1) is 110 kPa and losses are neglected, estimate the mass flow in kg/s. <image 1>",A. 0.04 kg/s B. 4.19 kg/s C. 5.25 kg/s,C,">


























































>













>



















>


>"
"Refrigerant-134a is expanded adiabatically from 100 psia and 100°F to a saturated vapor at 10 psia. Determine the entropy generation for this process, in Btu/lbm⋅R.<image 1>",A. $0.00147\frac{Btu}{lbm\cdotR}$ B. $0.00047\frac{Btu}{lbm\cdotR}$ C. $0.00247\frac{Btu}{lbm\cdotR}$,B,>
A 14-in-diameter hollow sphere of steel (SG = 7.85) has 0.16 in wall thickness. How much weight must be added inside to make the sphere neutrally buoyant? <image 1>,A. 15 lbf B. 50 lbf C. 25 lbf,C,>
What is represented in the diagram <image 1> ?,A. Jacketed Vessel B. Half coil Vessel C. Internal Coiled Vessel D. Shell and Tube Heat Exchanger,A,">











































































































>








>"
An ideal vapor-compression refrigeration cycle that uses refrigerant-134a as its working fluid maintains a condenser at 800 kPa and the evaporator at 212°C. Determine this system's COP and the amount of power required to service a 150 kW cooling load.<image 1>,"A. 4.07, 31.8 kW B. 4.97, 33.8 kW C. 4.87, 30.8 kW",C,">














































































































































































>



>

>















>



>















>

>
>

>
>
>



>
>
>
>
>
>
>
>
>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>"
"For the manometer of Fig. P2.32, all fluids are at 20°C. If pB - pA = 97 kPa, determine the height H in centimeters. <image 1>",A. 38.8 cm B. 15.9 cm C. 22.6 cm,C,">



























































































































































































































































































>





















>




>


>
>

>


>
>
>
>
>

>
>
>
>
>


>
>
>
>
>
>
>
>











>
>


>
>


>
>
>
>
>


>
>
>
>
>
>

>
>




>























>



>
>


>
>
>
>

>
>

>
>



>






















>
>"
"Water flows upward in a pipe slanted at 30°, as in Fig. P2.35. The mercury manometer reads h = 12 cm. What is the pressure difference between points (1) and (2) in the pipe? <image 1>",A. 12400 Pa B. 36000 Pa C. 26100 Pa,C,">


>
<>


>


>



>
>

>

>
>
>

>
>

>





>
>




>

>







>
>
>
>
>
>
>
>
>

>
>
>
>


>
>
>
>
>
>
>


>




>







>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>



>
>
>


>
>"
"<image 1>The accompanying sketch shows the schematic arrangement for measuring the thermal conductivity by the guarded hot plate method. Two similar 1 cm thick specimens receive heat from a 6.5 cm by 6.5 cm guard heater. When the power dissipation by the wattmeter was 15 W, the thermocouples inserted at the hot and cold surfaces indicated temperatures as 325 K and 300 K. What is the thermal conductivity of the test specimen material?",A. 0.81 W/m K B. 0.71 W/m K C. 0.61 W/m K D. 0.51 W/m K,B,>
