question,options,answer,generated_answer
"The financial statements of Eagle Sport Supply are shown in the following table: <image 1>. For simplicity, 'Costs' include interest. Assume that Eagle's assets are proportional to its sales. Find Eagle's required external funds if it maintains a dividend payout ratio of 50% and plans a growth rate of 15% in 2020.",A. $152.5 B. $162.5 C. $172.5 D. $182.5,B,">








>

>
>
>


>
>

















>
















>

















>

>


>



>


>

>

>
>

>
>

>
>
>
>
>
>
>

>
>
>
>
>
>
>
>
>
>

>
>

>
>

>
>
>
>



>


>
>
>
>


>
>



>

>
>
>
>
>
>



>
>

>"
 Consider a three-factor APT model. The factors and associated risk premiums are <image 1>. Calculate expected rates of return on the following stock: A stock whose return is uncorrelated with all three factors. The risk-free interest rate is 7%. ,A. 5% B. 7% C. 13% D. 15.5%,B,">



























































































































































































































































































































































































































































































































>"
"For case A accompanying table, answer the questions that follow. <image 1> Calculate the future value of the annuity, assuming that it is an ordinary annuity.","A. $126,827 B. $223,248 C. $36,216 D. $4,058",C,>
"Ratio proficiency  McDougal Printing, Inc., had sales totaling $40,000,000 in fiscal year 2015. Some ratios for the company are listed below. Use this information to determine the dollar values of various income statement and balance sheet accounts as requested. <image 1> Calculate values for the operating profits.","A. $14,000,000 B. $8,000,000 C. $32,000,000 D. $18,000,000",A,">





































































































































































































































>


>
>





>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>"
"As financial manager of Corton Inc., you are investigating a possible acquisition of Denham. You have the basic data given in the following table. You estimate that investors expect a steady growth of about 6% in Denham's earnings and dividends. Under new management, this growth rate would be increased to 8% per year without the need for additional capital. <image 1> How would the cost of the share offer change if the expected growth rate was not changed by the merger?","A. the cost of merger through stocks offer is $3,000,000 B. the cost of merger through stocks offer is $4,000,000 C. the cost of merger through stocks offer is $4,500,000 D. the cost of merger through stocks offer is $5,000,000",D,">

>
>
>
>
>
>
>
>
>
>
>



>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>
>
>
>
>
>
>
>
>
>
>

>
>
>

>
>
>
>
>


>
>
>
>



>
>
>



>"
"Clare Jaccard has $5,000 to invest. Because she is only 25 years old, she is not concerned about the length of the investment's life. What she is sensitive to is the rate of return she will earn on the investment. With the help of her financial advisor, Clare has isolated four equally risky investments, each providing a single amount at the end of its life, as shown in the following table. All the investments require an initial $5,000 payment. <image 1> Calculate, to the nearest 1%, the rate of return on investment B available to Clare.",A. 11% B. 8% C. 10% D. 9%,B,>
"Here is a forecast of sales by National Bromide for the first four months of 2019 (figures in $ thousands): <image 1> On the average 50% of credit sales are paid for in the current month, 30% are paid in the next month, and the remainder are paid in the month after that. What is the expected cash inflow from operations in months 3 and 4?","A. Month 3: $31,000; Month 4: $30,000 B. Month 3: $81,000; Month 4: $96,000 C. Month 3: $91,000; Month 4: $86,000 D. Month 3: $119,000; Month 4: $100,000",D,">






>

>
>





























>
>
>
>
>


>

>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>




>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>



>


>
>


>
>
>



>

>"
"The Booth Company's sales are forecasted to double from $1,000 in 2010 to $2,000 in 2011. Here is the December 31, 2010, balance sheet: <image 1> Booth's fixed assets were used to only 50% of capacity during 2010, but its current assets were at their proper levels in relation to sales. All assets except fixed assets must increase at the same rate as sales, and fixed assets would also have to increase at the same rate if the current excess capacity did not exist. Booth's after-tax profit margin is forecasted to be 5% and its payout ratio to be 60%. What is Booth's additional funds needed (AFN) for the coming year?",,360,
"The Verbrugge Publishing Company's 2010 balance sheet and income statement are as follows (in millions of dollars): <image 1> Verbrugge and its creditors have agreed upon a voluntary reorganization plan. In this plan, each share of the $6 preferred will be exchanged for one share of $2.40 preferred with a par value of $37.50 plus one 8% subordinated income debenture with a par value of $75. The $10.50 preferred issue will be retired with cash. What is the income available to common shareholders in the proposed recapitalization?",A. $4 million B. $5 million C. $6 million D. $7 million,D,>
"Boisjoly Watch Imports has agreed to purchase 15,000 Swiss watches for 1 million francs at today's spot rate. The firm's financial manager, James Desreumaux, has noted the following current spot and forward rates: <image 1> On the same day, Desreumaux agrees to purchase 15,000 more watches in 3 months at the same price of 1 million francs. If the exchange rate for the Swiss franc is 0.50 to $1 in 90 days, how much will Desreumaux have to pay (in dollars) for the watches?",,2000000,>
"Solar Designs is considering an investment in an expanded product line. Two possible types of expansion are being considered. After investigating the possible outcomes, the company made the estimates shown in the following table. <image 1> Determine the range of the rates of return for each of the two projects.",A. Expansion A: 20% to 24%; Expansion B: 10% to 30% B. Expansion A: 16% to 24%; Expansion B: 10% to 30% C. Expansion A: 16% to 24%; Expansion B: 20% to 30% D. Expansion A: 20% to 24%; Expansion B: 20% to 30%,B,">

>

>

>

>
>
>
>
>
>
><>
>

>
>
>
>
>
>
>
>
>
>
>

>
>
>
>
>
>




>



>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>


>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>

>
>

>
>
>
>
>
>


>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>
>"
