question,options,answer,generated_answer
"As shown in the figure, the fixed straight rod at the left end is subjected to a torsion couple, and the torque at sections 1-1 and 2-2 is: <image 1>","A. 12.0kN.m, -3kN.m B. -2.5kN.m, -3kN.m C. -2.5kN.m, -3kN.m D. 2.5kN.m, -3kN.m",D,"><























><
><

>



><





>


><
><










>
><

><




><

>

>
>
























>


















>



>



>
>




>
>







>

>


>

















>












>





























>"
"In the joint rose diagram, which of the following is the meaning of the length of the straight line segment that projects from the center of the semicircle in the radial direction?<image 1>",A. Joint tendency B. Joint dip angle C.  Joint strike D. Number of joints,D,">






































































































































































































































































































































































>


>
>

















>
>

>










>
>"
"When drawing the influence line of any quantity value, assume that the load is()<image 1>",A. unit moving load with unchanged direction  B. moving load C. dynamic load  D.  movable load,A,
What is the place described in <image 1>?,,"['Tampa', 'Florida']",">






































































































































































































































































































































>

>





>









>

>



>
>

>










>

















>



















>










>
>








>






















>


















>"
"In the illustrated circuit, the current 11 and the current 12 are respectively:<image 1>","A. 2.5A and 1.5A B. 1A, and 0A C. 2.5A and 0A D. 1A, and 1.5A",C,
"As shown in the diagram, the bending moment MDA (unit: kN? M) is equal to<image 1>",A. 12 B. 15 C. 18 D. 24,C,
<image 1>In this map countries are sized by:,A. CO_2-emissions B. amount of money which is spend on milita y. C. average education level. D. wealth 2021 years ago.,D,>
"The storage height of a small homogeneous earth dam is 16m, and the flow network is shown in Figure 1-5. The interval of the water head gradient equipotential lines in the flow network is evenly divided into m=22 (the number of equipotential lines calculated from downstream is shown in the figure). The G point in the earth dam is located on the 20th equipotential line, 11.5m above the ground level. May I ask which of the following options is the closest to the pore water pressure at point G? ()<image 1>",A. 30kPa B. 45kPa C. 115kPa D. 145kPa,A,>
" <image 1> 
This population graphs shows demographic info mation for:",A. Kenya B. Kiribati C. Kuweit D. Kyrgyzstan,B,>
"The figure shows (a) and (b) two sections, (a) is a circle of rectangular holes, (b) a square u and v with circular holes are the spindle of the center. There are four answers about the moment of inertia L. and I, among which the correct is<image 1>","A. l(a)>1,(a);l(b)=l(b) B. l.(a) >L(a);l(b)>l,(b) C. l.(a) >2(a);l(b)>l,(b) D. l.(a) >L(a);l(b)>2,(b)",B,"><



><



><











><
><
><
><>
><

><
><

><
><
><
><
><
><
><


><
><
><
><
><
><
><

><














><
><
><
><
><
><
><
><
><
><
><

><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><img_
><
><
><
><
><
><
><
><
><
><
><img>
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><
><img><
><
><
><
><
><img"
