question,options,answer,generated_answer
"<image 1> is Bi-sociation, Arthur Koestler (1964) model. Which of the options is not the concept of dual association suggested by Berk (2013)?",A. Defining the criteria for creativity B. List the attributes of each unrelated concept independently C. Evaluate different combinations of properties of two unrelated concepts D. Look for areas that force fit these attributes and provide opportunities,A,>
The <image 1> shows the Facade model. The following KPIs are applicable to the four perspectives of BSC. Which one is not included?,A. human resource Management B. technology C. marketing D. operations,B,>
"Timpco, a retailer, makes both cash and credit sales (i.e., sales on open account). Information regarding budgeted sales for the last quarter of the year is as follows: <image 1> Past experience shows that 5 percent of credit sales are uncollectible. Of the credit sales that are collectible, 60 percent are collected in the month of sale; the remaining 40 percent are collected in the month following the month of sale. Customers are granted a 1.5 percent discount for payment within 10 days of billing. Approximately 75 percent of collectible credit sales take advantage of the cash discount. Inventory purchases each month are 100 percent of the cost of the following month's projected sales. (The gross profit rate for Timpco is approximately 30 percent.) All merchandise purchases are made on credit, with 25 percent paid in the month of purchase and the remainder paid in the following month. No cash discounts for early payment are available. Calculate the budgeted total cash receipts for November",,242110.62,">











>


>





>








>

>




>




























>


>
>












>


>





>
>
>


>
>




>
>
>
>



>




>



>


>
>
>





























>

































>"
"Room registrations in the Toronto Towers Plaza Hotel have been recorded for the past 9 years. To project future occupancy, management would like to determine the mathematical trend of guest registration. This estimate will help the hotel determine whether future expansion will be needed. Given the following time-series data, develop a regression equation relating registrations to time (e.g., a trend equation). Then forecast year 11 registrations. Room registrations are in the thousands: <image 1>",A. 27010 B. 27020 C. 27030 D. 27040,C,">























































































































































































































































































































>




>




>


>








































>
>

>



>
>

















>

>














>


>
>












>










>



>























>



>"
"<image 1> is The process of divergence and convergence, the divergence-convergence process is sequential, divergence precedes convergence, as shown in the figure. You first unfold like a fruiting tree, and then some of the broad changes you produce converge on new, innovative products. Note that many divergent ideas end up going nowhere, so what do critics complain about?",A. No need to diverge B. Disagreement is wasteful and self-indulgent C. Convergence proceeds too slowly D. The process of divergence-convergence is of little significance.,B,>
The <image 1> shows the difference between the brains of rabbits and tortoises. What is the difference between the brains of tortoises and rabbits?,"A. calculating, B. analytical, C. category dependent D. synthetic",D,>
"The <image 1> shows a typical innovation model. As innovation adds more functions, which of the following options is not a result of it?",A. Achieve performance levels required by the market B. This product has ongoing sales value C. Customers are overserved D. Customers receive additional value,B,>
"Graph 1 shows the number of unemployed (in thousands) over a five-month period, organized by level of education completed. <image 1> The difference between the number of unemployed high school graduates and the number of unemployed workers without a high school diploma was smallest in ______.",A. June B. July C. August D. September E. October,D,
"Table 8 shows sales figures, including total sales amount, in thousands of dollars, average number of daily sales, and average length of customer visits in minutes, over a three-month period from 20 stores in a retail chain. <image 1> Consider the following statement. Indicate whether the statement is true or false, based on the information provided in the table. Statement: The store that averaged the fewest sales in May had higher total dollar sales that month than the store that averaged the most sales in May.",A. True B. False,B,>
"<image 1>: Elements of Website User Experience, Jesse James Garrett (2002) model. The model identifies five interdependent 'planes' with different levels of abstraction that together define the usability of a website. Which of the following options is not part of the model definition?",A. cooperate B. scope C. Structure D. Strategy,A,>
"Based on the stakeholder model in the <image 1>, which of the following options is not considered by critics of stakeholder theory to be a benefit to stakeholders?","A. vague, B. extra C. elusive. D. multidimensional",B,>
