question,options,answer,generated_answer,gpt-4o-mini_output
Determine the shape factor for the cross section of the H-beam. <image 1>,A. 1.17 B. 1.57 C. 0.87,B,">
















































































































































































































































































>



>









>

>
>

>





























































































































































































>



>
>",Incorrect
"The bar has a cross-sectional area A and is subjected to the axial load P. Determine the average normal stresses acting over the shaded section, which is oriented at $\theta$ from the horizontal. <image 1>",A. P/(A)*sin(2$\theta$) B. (P/A)sin^2($\theta$) C. P/(2A)*sin(2$\theta$) D. (P/2A)sin^2($\theta$),B,">






























































































<>









































<>






























































































































































































































































><",Incorrect
"If the shaft is subjected to an axial force of 5 kN, determine the bearing stress acting on the collar A. <image 1>",A. 1.00 MPa B. 1.11 MPa C. 1.01 MPa D. 1.10 MPa,D,">

>








































>











>
>
>


>",Incorrect
"If P = 3 kN, determine the bending stress developed at the points B of the cross section at section a-a. <image 1>",A. -65.1 MPa B. 7.77 MPa C. 43.7 MPa,B,,Incorrect
"The chandelier is suspended from the wall and ceiling using rods AB and BC, which have diameters of 3 mm and 4 mm, respectively. If the average normal stress in both rods is not allowed to exceed 150 MPa, determine the largest mass of the chandelier that can be supported if u = 45. <image 1>",A. 48 kg B. 148 kg C. 184 kg D. 248 kg,B,>,Incorrect
What are the indices for the direction represented by the vector that has been drawn within a unit cell? A negative index is indicated with a minus sign ('-') in front of (rather than over) the index number. <image 1>,A. [-321] B. [-420] C. [-431] D. [-430],D,,Incorrect
"A shear spring is made from two blocks of rubber, each having a height h, width b, and thickness a. The blocks are bonded to three plates as shown. If the plates are rigid and the shear modulus of the rubber is G, determine the displacement of plate A if a vertical load P is applied to this plate. Assume that the displacement is small so that $\delta $=a tan$\gamma $ $\approx $ a $\gamma $. <image 1>",A. Pa/(2bhG) B. Pa/(bhG) C. Pab/(2hG) D. 2Pa/(bhG),A,>,Incorrect
The density and associated percent crystallinity for two poly(ethylene terephthalate) materials are as follows: <image 1> Determine the percent crystallinity of a specimen having a density of 1.382 g/cm3,A. 57.4% B. 74.5% C. 67.4% D. 54.7%,A,">


>


































































































































































<>

<>



<>













<>

















<>

















>



<>


<>

<>



<>
<>




<>

<>
<>
<>

>
>


<>


<>
<>
<>


>

<>
<>
<>
<>
>
>
>
>


<>

>




>
<>
>


<>
<>
>
<>
>
>
>
>
>
>
>
<>
<>
<>
<>
<>
>
>
>
>
<>
>
<>
<>
<>
<>
<>
<>
<>
>
>
<>
<>
<>
<
<>
<
<



<
<
<



<


<
<>





>

<


>


>
>
>
>
>

>
>



<

>









<",Incorrect
A vertical force of P=1500 N is applied to the bell crank. Determine the average shear stress developed in the the 6-mm diameter pin B that is subjected to double shear. <image 1>,A. 60.5 MPa B. 62.2 MPa C. 40.5 MPa D. 40.2 MPa,B,">
>

































>






































>









>








>
>




>



>
>

>
>

>




























>



>



>",Incorrect
The figures below depict hypothetical room-temperature random polycrystalline grain structures (at the same magnification) for the same single-component metal. Which of these structures is expected to provide the lowest yield stress?,A. <image 1> B. <image 2> C. <image 3> D. <image 4>,A,,Incorrect
The metal stud punch is subjected to a force of 120 N on the handle. Determine the magnitude of the reactive force at the pin A. <image 1>,A. 1.41 kN B. 4.49 kN C. 1.19 kN D. 1.49 kN,D,">

























>
























































































































>
>










>",Incorrect
"An acetal polymer block is fixed to the rigid plates at its top and bottom surfaces. If the top plate displaces 2 mm horizontally when it is subjected to a horizontal force P=2 kN, determine the shear modulus of the polymer. The width of the block is 100 mm. Assume that the polymer is linearly elastic and use small angle analysis. <image 1>",A. 15 MPa B. 5 MPa C. 20 MPa D. 2 MPa,B,>,Incorrect
