question,options,answer,generated_answer
Which of the following best depicts the relation between performance and arousal?,A. <image 1> B. <image 2> C. <image 3> D. <image 4> E. <image 5>,A,A
"To investigate people's ability to divide their attention between two different tasks, college students were asked to listen to a passage of expository prose and at the same time to inspect a set of photographs, unrelated to the passage, that were projected one by one at a rapid rate. At the end of the dual-task presentation, the students were tested both for their memory of the passage and their memory of the photographs. To establish a baseline for this dual-task condition, the same students also were tested for their memory when each of the component tasks was presented alone. The following graph shows the results. <image 1> In a study of the effectiveness of divided attention, it is most important that the experimental design include",A. a counterbalance of the order in which participants are tested in the baseline and dual-task conditions B. a consistent order in which participants are tested in the baseline and dual-task conditions C. an equal number of men and women as participants D. verification that participants believe themselves capable of dividing attention,A,A
The graph below best illustrates which of the following? <image 1>,A. The spacing effect B. The impact of elaborative rehearsal on recall C. Hermann Ebbinghaus's forgetting curve D. The effect of visual imagery on retention E. The serial position effect,E,A
"There are three predominant theories that attempt to explain how the components of emotion-the physiological, the behavioral, and the cognitive-are interconnected. What is name of the theory as shown in the figure below? <image 1>",A. James-Lange Theory B. Cannon-Bard Theory C. Schachter-Singer Theory D. Cranberry-Melon Theory,B,B. Cannon-Bard Theory
The arrow in this figure <image 1> is pointing to which part of the brain?,A. parietal lobe B. temporal lobes C. cerebral cortex D. occipital lobe,D,The arrow in the figure is pointing to the parietal lobe.
"<image 1> Assuming each dash in the above figure represents the addition of a reinforcer, which learning curve represents a variable ratio reinforcement schedule?",A. A B. B C. C D. D E. E,A,D
Which of the following regions is the main part of the neuron that contains neurotransmitter receptors (i.e. recieves incoming messages)? <image 1>,A. A B. B C. C D. D E. E F. F,A,D
"<image 1> In data set A, the mean is",A. 3 B. 11 C. 12 D. 13 E. 18,B,D
<image 1> Which of the following is the most likely independent variable in the study described in the newspaper clipping?,A. Perception of authority B. Conformity C. Perception of behavior D. Response to authority E. Age,A,A. Perception of authority
"Refer to the figure <image 1>. Which correctly names the lobes labeled 1, 2, 3, and 4, respectively?","A. Temporal lobe, occipital lobe, parietal lobe, frontal lobe B. Frontal lobe, temporal lobe, occipital lobe, parietal lobe C. Frontal lobe, parietal lobe, occipital lobe, temporal lobe D. Temporal lobe, parietal lobe, occipital lobe, frontal lobe",C,"The correct names of the lobes labeled 1, 2, 3, and 4, respectively, are:

1. Occipital lobe
2. Parietal lobe
3. Temporal lobe
4. Frontal lobe"
"Epidemiologically speaking, it is crucial to understand the contact structure through which disease travels. In studies of sexually transmitted diseases (STDs) in particular, the structure of sexual networks is critical for understanding STD diffusion. Generally, the network structures of disease diffusion and infection can be categorized into four types: the core infection model, the inverse core infection model, the bridging model, and the spanning tree model (see below). Figure 1. The network structure of four models of infection. For Panels A, B, and C, black circles denote actors that are high-activity or high-risk, and white circles indicate low-activity or low-risk actors. Panel D circles represent randomly selected individuals. Lines represent the relationship between two actors. The dotted lines in Panel A and B delineate the ""core"". <image 1> Disease diffusion is widespread among adolescent populations. A study mapped the romantic and sexual relationships of an entire high school population of over 800 adolescents in a midsized town in the Midwestern US for a period of 18 months. Students were asked to identify their sexual (not dating) and romantic partners (dating) in the past 18 months from a roster of other students attending their school. The study found that adolescent sexual networks are structured very differently from adult ones. In an adult sexual network, there is normally a core group of very sexually active people that links out to others. This can be envisioned as a transportation hub system where many points are connected to a small number of hubs. At the high school, on the contrary, there was no core group. Instead, the romantic and sexual network at the school created long chains of connections that spread out through the community, with few places where students directly shared the same partners with each other. This can be comparable to rural phone lines that run from a long main line to individual houses. One single component of the network was found to have 288 linked students, in one long chain. This chain featured 52% (288) of the romantically involved students at the high school, but most students had only one partner and they had little idea of their connections to the long network chain. Which of the following statements best explains Panel C?","A. One individual's past partner is tied through multiple chains to his or her current or future partner. B. It is a structure with few cycles, low redundancy, and sparse density. C. One actor shows the ability to stop the transmission of STDs between two networks. D. Two populations of persons engaged in different behaviors are linked by one actor.",D,A. One individual's past partner is tied through multiple chains to his or her current or future partner.
"One of the central questions in language is of linguistic determinism. Language is an important component of one's ability to comprehend numbers and quantities. Counting takes many forms depending on culture. Researchers have not yet found a language that does not represent numbers. Some cultures use body parts to count or forms of recursion using a small numerical base. Gumulgal South Sea Islanders count utilizing a recursive binary system. The Piraha are a monolingual population (< 200 population) that have rejected assimilation with the Brazilian culture. A predominantly hunter-gatherer population, the Piraha live in villages of between 10 and 20 people on the banks of the Maici River in Brazil's Lowland Amazonia region. The Piraha counting system consists of what is termed the ""one-two-many"" system. Quantities beyond two are described as many, in this system of counting. A researcher visited the Piraha tribe to test the impact of counting systems on the ability to estimate quantity. Members of the Piraha tribe were given a visual counting task to test the impact of numerical systems on visual estimation. Each tribe member was allowed to inspect a group of nuts for a few seconds. The nuts were placed in an opaque can, so the quantity could not be viewed. For each trial, a nut was removed from the can, and the tribe member was asked to tell the researcher if the can still contained nuts. Tribe members who were able to estimate the quantity of nuts in the can would be able to tell when there were none left. Figure 1 shows the proportion of correct responses averaged for each target number of nuts over all trials. Figure 1: Results for the Piraha tribe members' trials averaged for each target number (n = 63). For each trial, each tribe member estimated the number of nuts left in the can (target). The proportion of correct responses is shown (the first and last nut were excluded). <image 1> Which theory would support the viewpoint: the Piraha have not needed a counting system that uses numbers beyond two and when a better numbering system is necessary, their language will create it?",A. Piaget B. Vygotsky C. Whorfian D. Weak linguistic determinism,B,A. Piaget
"<image 1> In the figure above, where does the neurotransmitter dopamine have its effect?",A. A B. B C. C D. D E. E,E,D
"The interference resulting from the performance of two simultaneous cognitive tasks can be categorized as either domain-general or domain-specific. Domain-general interference results from a lack of overall cognitive resources to attend to both tasks. A domain-specific interference is related to a lack of resources in a specific system, such as the visual or motor system. Recent research has suggested that language regarding visual and motoric content may engage some of the same systems through mental simulation, rather than engaging separate systems for language and perceptual systems. Studies have shown following distance increases with increased distraction or weather related stress. Other researchers wanted to understand the implications of this research on driving ability. They set up an experiment to test the effects of content specific language involving visual, motor, or abstract content on reaction times and following distance. All participants spoke English fluently and underwent training to ensure competence in the driving simulator did not affect their performance of the task. Participants were required to keep both hands on the wheel during the experiment. After the driving simulation began, the participants had to respond to a battery of true and false questions in each language condition. A possible visual language condition sentence is 'A stop sign is green'; a correct response is speaking the word 'false'. Sentences in the motor condition included fine motor details and differed from required movements for driving (e.g. 'It is possible to crush a remote between the thumb and first finger'; similarly, this would require speaking 'false'). Abstract sentences were taken from the U.S. citizenship exam (e.g. 'The American Civil War took place before WWII'; 'true'). The mean following distance from the pace car for each of the three language conditions and a control group (asked to repeat the word 'true' or 'false') is shown in Figure 1. Figure 1: The mean following distance between the participant's vehicle and the vehicle in front of the participant in the simulation. There were significant differences between pairwise comparisons in all conditions. <image 1> The term 'LBFS (Look But Failed to See) accident' has crept into the nomenclature to describe an accident where the driver looked in a direction, only to be hit by an oncoming vehicle that should have been highly visible from that same direction. Which of these would NOT account for this problem?","A. Saccadic masking occurrence, in which moving eyes are rendered temporarily blind B. Driving on an unfamiliar road C. Domain-general and domain-specific interference D. An experienced driver's existing schema does not match an oncoming car",B,A
<image 1> Which of the following provides an effective explanation for the data above?,A. Operant conditioning B. Classical conditioning C. Prepared conditioning D. Self-actualization E. Observational learning,E,A. Operant conditioning
Researchers studying vision use various methods to investigate human perceptual experience. Research on spectral sensitivity of the rod receptors (scattered throughout the retina) and cone visual receptors (mainly concentrated in the fovea area of the retina) highlights the relationship between perception and physiology. Signal detection methods have been used to measure the differences in how perception adjusts to low-light environments. Participant responses can be plotted based on sensitivity versus length of time in the dark. The dark adaptation curve can be plotted showing how rods and cones differ in their sensitivity to light over time. The following graph shows a plot of three calculated dark adaptation curves. <image 1> Which of the following statements is true?,"A. Rods are responsible for color vision, which explains color sensitivity under low-light conditions. B. Cones are responsible for color vision, which explains greater color sensitivity under low-light conditions. C. Rods do not respond preferentially to wavelengths in the light spectrum, which explains why colors are not detectable in low-light conditions. D. Both rods and cones respond to specific colors in the light spectrum; loss of color vision in dark conditions is the result of fewer photons of light.",C,A
Which of the following graphs best represents the relationship between arousal and performance?,A. <image 1> B. <image 2> C. <image 3> D. <image 4> E. <image 5>,A,"Option A. The graph with a line of best fit represents the relationship between arousal and performance. As arousal increases, performance tends to increase as well. This is evident from the upward trend of the line in the graph."
"Drug addiction is often correlated with criminal behavior, and some convicted criminals begin their prison sentence already addicted to drugs. In these cases, treatment is focused on not only helping the person overcome drug addiction, but also reducing criminal behavior upon parole. One prison decided to try to improve their current treatment options by providing additions to traditional addiction psychotherapy. They offered three different types of treatment, and investigated if those treatment types had different long-term outcomes. The first treatment included psychotherapy and medication while the individuals were incarcerated and when they were released on parole. The second treatment included psychotherapy while the individuals were in prison, and medication only once they were released on parole. The third treatment included psychotherapy while the individuals were in prison, and a referral to a clinic where individuals could get medication if they wanted it after they were released. Participants from each group were contacted a year after they were released from prison, and researchers were then able to calculate how many individuals in each treatment condition had returned to drug abuse. Table 1 shows the percentage of people in each condition who were addicted to each drug one year after being released from prison. <image 1> Which group was most susceptible to relapse?",A. Individuals who were addicted to opiates and received medication both pre and post release. B. Individuals who were addicted to cocaine and only received medication referrals. C. Individuals who were addicted to opiates and received medication post release only. D. Individuals who were addicted to cocaine and received medication both pre and post release.,B,"Out of the four types of treatment offered, the combination of psychotherapy and medication, which is represented by the blue box in the table, appears to be the most effective in reducing drug abuse and criminal behavior. This is because both types of treatment address the underlying causes of addiction and help individuals develop healthier coping mechanisms. By combining these two effective treatment approaches, the overall success rate of helping individuals overcome drug addiction and reduce criminal behavior can be improved."
"A researcher was interested in whether or not jazz vocals and opera influence men and women emotional states. She hypothesized that these types of music influence men and women differently. In a study investigating this hypothesis, 40 men and 40 women heard a jazz piece, and 40 men and 40 women heard an operatic piece. The jazz piece was sung by a man, and the operatic piece was sung by a woman. Afterward, participants rated themselves on an inventory measuring emotional state. Higher scores on the inventory indicate positive mood. Results of this study are represented in the graph below. <image 1> Which of the following is the most serious problem with the methodology of this research?",A. Men and women did not listen to both types of music B. The singers were not the same gender C. The sample size was too small to draw a valid conclusion D. The participants were not musicians,B,A. Men and women did not listen to both types of music.
The red arrow in the figure <image 1> belongs to the ______ stage of pregnancy.,,embryonic,The red arrow in the figure in the image represents the first trimester of pregnancy.
"Understanding the various causes of psychological disorders is a central focus of research in psychology. Further, clinical psychologists must consider factors that influence the incidence rate and characteristics of clinical populations that they treat. The following graphs depict data from a study by L. R. Snowden and F. K. Cheung, who examined demographic differences in the incidence rate of schizophrenia. The first figure shows the percentage rates for schizophrenia diagnosis among individuals admitted for psychiatric care who classified themselves as""African American,"" White,"" ""Hispanic American,"" or ""Asian American and other."" <image 1> The following graph shows the percentage rates for mood disorder diagnosis among individuals admitted for psychiatric care, by the same ethnicity classifications. <image 2> Based on psychological research investigating the causes of schizophrenia, which of the following is NOT true?","A. Schizophrenia has a genetic component that can be inherited from biological parents, but genetic factors alone cannot account for the development of the disorder. B. The production and activity of specific chemical substances in the brain have been found to be associated with schizophrenia. C. Environmental factors contribute to the development of schizophrenia. D. A person has a 100% chance of developing schizophrenia if both of his or her parents have schizophrenia.",D,A
