Task,Accuracy
Literature,43.33
Architecture_and_Engineering,13.33
Mechanical_Engineering,13.33
Accounting,23.33
Public_Health,33.33
Energy_and_Power,10.0
Finance,13.33
Computer_Science,13.33
Clinical_Medicine,13.33
Sociology,16.67
Design,30.0
Materials,16.67
Biology,26.67
Marketing,16.67
Manage,6.67
Diagnostics_and_Laboratory_Medicine,20.0
Art,20.0
Pharmacy,10.0
Chemistry,9.68
Math,36.67
Art_Theory,13.33
Geography,10.0
Economics,20.0
Electronics,10.0
Agriculture,6.67
Basic_Medical_Science,23.33
Psychology,30.0
Physics,30.0
Music,16.67
History,26.67
Average,19.1
