Task,Accuracy
Literature,0.0
Architecture_and_Engineering,0.0
Mechanical_Engineering,0.0
Accounting,0.0
Public_Health,0.0
Energy_and_Power,0.0
Finance,0.0
Computer_Science,0.0
Clinical_Medicine,0.0
Sociology,0.0
Design,0.0
Materials,0.0
Biology,0.0
Marketing,0.0
Manage,0.0
Diagnostics_and_Laboratory_Medicine,0.0
Art,0.0
Pharmacy,0.0
Chemistry,0.0
Math,0.0
Art_Theory,0.0
Geography,0.0
Economics,0.0
Electronics,0.0
Agriculture,0.0
Basic_Medical_Science,0.0
Psychology,0.0
Physics,0.0
Music,0.0
History,0.0
Average,0.0
