Task,Accuracy
Literature,26.67
Architecture_and_Engineering,30.0
Mechanical_Engineering,13.33
Accounting,36.67
Public_Health,33.33
Energy_and_Power,43.33
Finance,23.33
Computer_Science,36.67
Clinical_Medicine,20.0
Sociology,36.67
Design,26.67
Materials,23.33
Biology,23.33
Marketing,26.67
Manage,30.0
Diagnostics_and_Laboratory_Medicine,23.33
Art,10.0
Pharmacy,30.0
Chemistry,16.67
Math,26.67
Art_Theory,20.0
Geography,16.67
Economics,46.67
Electronics,23.33
Agriculture,23.33
Basic_Medical_Science,40.0
Psychology,16.67
Physics,36.67
Music,13.33
History,30.0
Average,26.78
