Task,Accuracy
Literature,26.67
Architecture_and_Engineering,30.0
Mechanical_Engineering,43.33
Accounting,36.67
Public_Health,23.33
Energy_and_Power,30.0
Finance,6.67
Computer_Science,6.67
Clinical_Medicine,20.0
Sociology,36.67
Design,13.33
Materials,26.67
Biology,23.33
Marketing,30.0
Manage,26.67
Diagnostics_and_Laboratory_Medicine,23.33
Art,36.67
Pharmacy,16.67
Chemistry,30.0
Math,23.33
Art_Theory,36.67
Geography,16.67
Economics,33.33
Electronics,13.33
Agriculture,20.0
Basic_Medical_Science,26.67
Psychology,26.67
Physics,30.0
Music,30.0
History,20.0
Average,25.44
