Task,Accuracy
Literature,26.67
Architecture_and_Engineering,26.67
Mechanical_Engineering,26.67
Accounting,26.67
Public_Health,6.67
Energy_and_Power,33.33
Finance,30.0
Computer_Science,26.67
Clinical_Medicine,13.33
Sociology,23.33
Design,16.67
Materials,23.33
Biology,30.0
Marketing,23.33
Manage,36.67
Diagnostics_and_Laboratory_Medicine,16.67
Art,26.67
Pharmacy,36.67
Chemistry,23.33
Math,43.33
Art_Theory,10.0
Geography,20.0
Economics,46.67
Electronics,26.67
Agriculture,23.33
Basic_Medical_Science,30.0
Psychology,33.33
Physics,13.33
Music,20.0
History,40.0
Average,26.0
