id,audio_tokens
IntentClassification_0,<aud_00259><aud_00259><aud_00288><aud_00582><aud_00582><aud_00582><aud_00582><aud_00582><aud_00582><aud_00582><aud_00270><aud_00270><aud_00040><aud_00044><aud_00485><aud_00485><aud_00485><aud_00485><aud_00849><aud_00849><aud_00027><aud_00027><aud_00656><aud_00656><aud_00656><aud_00929><aud_00929><aud_00478><aud_00733><aud_00922><aud_00922><aud_00018><aud_00167><aud_00328><aud_00328><aud_00832><aud_00511><aud_00180><aud_00275><aud_00275><aud_00740><aud_00740><aud_00839><aud_00286><aud_00145><aud_00145><aud_00213><aud_00213><aud_00213><aud_00658><aud_00658><aud_00658><aud_00658><aud_00719><aud_00719><aud_00719><aud_00110><aud_00110><aud_00110><aud_00110><aud_00453><aud_00453><aud_00309><aud_00309><aud_00173><aud_00173><aud_00136><aud_00600><aud_00600><aud_00362><aud_00390><aud_00152><aud_00103><aud_00363><aud_00304><aud_00934><aud_00934><aud_00561><aud_00081><aud_00352><aud_00474><aud_00866><aud_00866><aud_00515><aud_00515><aud_00328><aud_00541><aud_00111><aud_00734><aud_00327><aud_00882><aud_00131><aud_00019><aud_00449><aud_00449><aud_00848><aud_00848><aud_00848><aud_00713><aud_00077><aud_00077><aud_00376><aud_00376><aud_00376><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00412><aud_00412><aud_00412><aud_00412><aud_00892><aud_00892><aud_00892><aud_00892><aud_00892><aud_00892><aud_00892><aud_00943><aud_00943><aud_00892><aud_00892><aud_00892><aud_00892><aud_00892>
IntentClassification_1,<aud_00147><aud_00404><aud_00033><aud_00196><aud_00196><aud_00106><aud_00065><aud_00065><aud_00592><aud_00592><aud_00592><aud_00592><aud_00592><aud_00208><aud_00208><aud_00040><aud_00393><aud_00393><aud_00044><aud_00044><aud_00826><aud_00826><aud_00021><aud_00161><aud_00375><aud_00133><aud_00192><aud_00290><aud_00816><aud_00816><aud_00165><aud_00250><aud_00877><aud_00877><aud_00111><aud_00111><aud_00734><aud_00327><aud_00882><aud_00530><aud_00286><aud_00989><aud_00857><aud_00243><aud_00840><aud_00840><aud_00677><aud_00672><aud_00672><aud_00672><aud_00294><aud_00749><aud_00397><aud_00473><aud_00473><aud_00274><aud_00024><aud_00024><aud_00172><aud_00468><aud_00468><aud_00243><aud_00243><aud_00331><aud_00267><aud_00267><aud_00804><aud_00804><aud_00882><aud_00882><aud_00773><aud_00773><aud_01002><aud_00417><aud_00614><aud_00614><aud_00305><aud_01003><aud_00195><aud_00195><aud_00710><aud_00436><aud_00083><aud_00450><aud_00357><aud_00558><aud_00374><aud_00037><aud_00732><aud_00732><aud_00610><aud_00610><aud_00467><aud_00467><aud_00281><aud_00281><aud_00492><aud_00492><aud_00211><aud_00211><aud_00043><aud_00806><aud_00806><aud_00069><aud_00319><aud_00291><aud_00336><aud_00032><aud_00032><aud_00189><aud_00189><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00079><aud_00079><aud_00079><aud_00079><aud_00988><aud_00988><aud_00744><aud_00744><aud_00744><aud_00744><aud_00744><aud_00007><aud_00007><aud_00288><aud_00063><aud_00063><aud_00288><aud_00288><aud_00288><aud_00288><aud_00949><aud_00949><aud_00949><aud_00949><aud_00949><aud_00949><aud_00007><aud_00007><aud_00007><aud_00007><aud_00007><aud_00007><aud_00007><aud_00259><aud_00259><aud_00259><aud_00259>
IntentClassification_2,<aud_00288><aud_00582><aud_00240><aud_00334><aud_00334><aud_00334><aud_00334><aud_00072><aud_00072><aud_00270><aud_00270><aud_00270><aud_00270><aud_00270><aud_00661><aud_00020><aud_00661><aud_00251><aud_00479><aud_00479><aud_00910><aud_00538><aud_00538><aud_00538><aud_00538><aud_00538><aud_00788><aud_00781><aud_00282><aud_00538><aud_00538><aud_00774><aud_00774><aud_00929><aud_00929><aud_00608><aud_00733><aud_00733><aud_00538><aud_00538><aud_00538><aud_00538><aud_00538><aud_00978><aud_00421><aud_00350><aud_00639><aud_00903><aud_00903><aud_00903><aud_00489><aud_00489><aud_00489><aud_00489><aud_00489><aud_00489><aud_00489><aud_00538><aud_00538><aud_00753><aud_00753><aud_00383><aud_00383><aud_00120><aud_00120><aud_00120><aud_00713><aud_00713><aud_00077><aud_00077><aud_00077><aud_00909><aud_00909><aud_00376><aud_00376><aud_00376><aud_00967><aud_00967><aud_00412><aud_00412><aud_00412><aud_00412><aud_00412><aud_00433><aud_00943><aud_00943><aud_00943><aud_00433><aud_00943><aud_00240><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00063><aud_00063><aud_00063><aud_00063><aud_00063><aud_00799><aud_00799><aud_00799><aud_00799><aud_00799>
IntentClassification_3,<aud_00623><aud_00623><aud_00009><aud_00009><aud_00009><aud_00009><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00128><aud_00128><aud_00128><aud_00044><aud_00826><aud_00826><aud_00021><aud_00021><aud_00752><aud_00036><aud_00036><aud_00741><aud_00250><aud_00250><aud_01007><aud_00947><aud_00947><aud_00111><aud_00111><aud_00734><aud_00734><aud_00327><aud_00882><aud_00584><aud_00584><aud_00793><aud_00793><aud_00361><aud_00493><aud_00157><aud_00157><aud_00219><aud_00999><aud_00397><aud_00473><aud_00627><aud_00617><aud_00881><aud_00639><aud_00903><aud_00903><aud_00841><aud_00841><aud_00841><aud_00841><aud_00331><aud_00836><aud_00840><aud_00987><aud_00955><aud_00951><aud_00951><aud_00951><aud_00951><aud_00328><aud_00328><aud_00328><aud_00328><aud_00613><aud_00613><aud_00152><aud_00195><aud_00570><aud_00868><aud_00326><aud_00929><aud_00478><aud_00478><aud_00104><aud_00104><aud_00104><aud_00374><aud_00374><aud_00516><aud_00610><aud_00610><aud_00610><aud_00467><aud_00467><aud_00467><aud_00281><aud_00281><aud_00281><aud_00492><aud_00492><aud_00492><aud_00211><aud_00211><aud_00211><aud_00069><aud_00069><aud_00069><aud_00069><aud_00069><aud_00319><aud_00291><aud_00291><aud_00336><aud_00032><aud_00032><aud_00189><aud_00189><aud_00070><aud_00555><aud_00555><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00065><aud_00065><aud_00340><aud_00340><aud_00340><aud_00005><aud_00005><aud_00005><aud_00005>
IntentClassification_4,<aud_00009><aud_00009><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00365><aud_00270><aud_00270><aud_00270><aud_00068><aud_00068><aud_00826><aud_00021><aud_00021><aud_00447><aud_00047><aud_00344><aud_00344><aud_00682><aud_00989><aud_00221><aud_00221><aud_00221><aud_00360><aud_00000><aud_00000><aud_00500><aud_00281><aud_00691><aud_00691><aud_00691><aud_00691><aud_00691><aud_00691><aud_00376><aud_00909><aud_00909><aud_00909><aud_00909><aud_00909><aud_00909><aud_00909><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070><aud_00070>
IntentClassification_5,<aud_00288><aud_00288><aud_00288><aud_00288><aud_00288><aud_00430><aud_00430><aud_00063><aud_00063><aud_00430><aud_00430><aud_00430><aud_00430><aud_00430><aud_00430><aud_00040><aud_00040><aud_00393><aud_00393><aud_00040><aud_00044><aud_00044><aud_00721><aud_00721><aud_00310><aud_00310><aud_00310><aud_00180><aud_00275><aud_00056><aud_00578><aud_00720><aud_00602><aud_00479><aud_00509><aud_00509><aud_00700><aud_00700><aud_00700><aud_00638><aud_00315><aud_00774><aud_00868><aud_00326><aud_00929><aud_00608><aud_00608><aud_00733><aud_00733><aud_00385><aud_00385><aud_00385><aud_00066><aud_00066><aud_00066><aud_00568><aud_00568><aud_00431><aud_00459><aud_00459><aud_00095><aud_00095><aud_00095><aud_00204><aud_00479><aud_00697><aud_00910><aud_00306><aud_00306><aud_00306><aud_00580><aud_00580><aud_00293><aud_00248><aud_00424><aud_00424><aud_00424><aud_00459><aud_00459><aud_00459><aud_00046><aud_00301><aud_00223><aud_00223><aud_00542><aud_00407><aud_00407><aud_00407><aud_00407><aud_00481><aud_00481><aud_00481><aud_00225><aud_00225><aud_00225><aud_00517><aud_00848><aud_00848><aud_00713><aud_00713><aud_00077><aud_00077><aud_00077><aud_00012><aud_00012><aud_00012><aud_00065><aud_00065><aud_00065><aud_00079><aud_00079><aud_00079><aud_00201><aud_00288><aud_00079><aud_00079><aud_00079><aud_00079><aud_00079><aud_00079><aud_00892><aud_00892><aud_00892><aud_00892><aud_00892><aud_00441><aud_00441><aud_00007><aud_00007><aud_00007><aud_00007><aud_00007><aud_00007>
IntentClassification_6,<aud_00144><aud_00240><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00057><aud_00057><aud_00057><aud_00057><aud_00057><aud_00057><aud_00057><aud_00057><aud_00057><aud_00567><aud_00567><aud_00826><aud_00826><aud_00021><aud_00021><aud_00375><aud_00520><aud_00047><aud_00247><aud_00247><aud_00344><aud_00682><aud_00989><aud_00470><aud_00762><aud_00762><aud_00289><aud_00289><aud_00947><aud_00947><aud_00947><aud_00459><aud_00459><aud_00399><aud_00029><aud_00739><aud_00739><aud_00954><aud_00906><aud_00742><aud_00673><aud_00673><aud_00673><aud_00959><aud_00959><aud_00959><aud_00763><aud_00763><aud_00531><aud_00798><aud_00904><aud_00279><aud_00532><aud_00651><aud_00651><aud_00953><aud_00953><aud_00482><aud_00482><aud_00648><aud_00648><aud_00410><aud_00958><aud_00958><aud_00376><aud_00376><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00943><aud_00943><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00943><aud_00943><aud_00869><aud_00869><aud_00869><aud_00869><aud_00869><aud_00057><aud_00057><aud_00057><aud_00057>
IntentClassification_7,<aud_00259><aud_00259><aud_00259><aud_00259><aud_00582><aud_00582><aud_00582><aud_00582><aud_00128><aud_00128><aud_00128><aud_00393><aud_00044><aud_00044><aud_00100><aud_00485><aud_00149><aud_00149><aud_00328><aud_00424><aud_00511><aud_00511><aud_00111><aud_00278><aud_00873><aud_00873><aud_00456><aud_00327><aud_00264><aud_00647><aud_00647><aud_00701><aud_00276><aud_00742><aud_00914><aud_00699><aud_00699><aud_00328><aud_00541><aud_00538><aud_00228><aud_00538><aud_00972><aud_00972><aud_00833><aud_00833><aud_00659><aud_00659><aud_00535><aud_00535><aud_00535><aud_00836><aud_00775><aud_00350><aud_00278><aud_00873><aud_00873><aud_00873><aud_00873><aud_00855><aud_00768><aud_00768><aud_00768><aud_00555><aud_00319><aud_00319><aud_00475><aud_00475><aud_00475><aud_00178><aud_00380><aud_00261><aud_00261>
IntentClassification_8,<aud_00623><aud_00623><aud_00623><aud_00009><aud_00009><aud_00009><aud_00009><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00128><aud_00393><aud_00128><aud_00068><aud_00044><aud_00661><aud_00575><aud_00575><aud_00773><aud_00289><aud_00124><aud_00589><aud_00790><aud_00248><aud_00537><aud_00220><aud_00459><aud_00459><aud_00749><aud_00029><aud_00175><aud_00175><aud_00548><aud_00251><aud_00479><aud_00910><aud_00933><aud_00614><aud_00000><aud_00459><aud_00421><aud_00996><aud_00996><aud_00175><aud_00459><aud_00456><aud_00575><aud_00882><aud_00773><aud_00306><aud_00289><aud_00289><aud_00538><aud_00685><aud_00219><aud_00999><aud_00714><aud_00802><aud_00617><aud_00639><aud_00970><aud_00970><aud_00094><aud_00220><aud_00220><aud_00459><aud_00738><aud_00738><aud_00773><aud_00773><aud_00160><aud_00783><aud_00805><aud_00805><aud_00045><aud_00045><aud_00713><aud_00077><aud_00077><aud_00077><aud_00376><aud_00376><aud_00070><aud_00070><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00917><aud_00079><aud_00079><aud_00079><aud_00079><aud_00079><aud_00340><aud_00340>
IntentClassification_9,<aud_00144><aud_00144><aud_00144><aud_00943><aud_00329><aud_00329><aud_00329><aud_00329><aud_00943><aud_00799><aud_00799><aud_00799><aud_00498><aud_00498><aud_00498><aud_00498><aud_00498><aud_00241><aud_00241><aud_00241><aud_00241><aud_00241><aud_00241><aud_00241><aud_00241><aud_00938><aud_00938><aud_00938><aud_00938><aud_00661><aud_00661><aud_00149><aud_00561><aud_00081><aud_00469><aud_00352><aud_00845><aud_00636><aud_00113><aud_00113><aud_00897><aud_00897><aud_00553><aud_00553><aud_00387><aud_00723><aud_00339><aud_00388><aud_00997><aud_00997><aud_00611><aud_00197><aud_00772><aud_00625><aud_00757><aud_00757><aud_00757><aud_00757><aud_00510><aud_00510><aud_00510><aud_00342><aud_00342><aud_00342><aud_00342><aud_00583><aud_00292><aud_00900><aud_00900><aud_00540><aud_00343><aud_00921><aud_00921><aud_00390><aud_00157><aud_00219><aud_00999><aud_00397><aud_00473><aud_00627><aud_00617><aud_00639><aud_00903><aud_00616><aud_00616><aud_00345><aud_00345><aud_00345><aud_00547><aud_00547><aud_00840><aud_00955><aud_00955><aud_01006><aud_00328><aud_00932><aud_00160><aud_00446><aud_00446><aud_00614><aud_00607><aud_00045><aud_00045><aud_00045><aud_00713><aud_00713><aud_00077><aud_00077><aud_00376><aud_00376><aud_00376><aud_00646><aud_00646><aud_00646><aud_00412><aud_00412><aud_00412><aud_00412><aud_00412><aud_00412><aud_00412><aud_00150><aud_00150><aud_00150>
